"","Organization Name English","Organization Name/ ორგანიზაცია","Organization Status","სერვისი/service tags for sheaghe ","ცენტრის დასახელება/name of the center","Program Name/ ქვეპროგრამა","Target Group/ სამიზნე ჯგუფი","Name of Contact Person / ხელმძღვანელი/საკონტაქტო პირი","Website/facebook","email/ელ-მისამართი","phone/ ტელეფონი","Region/რეგიონი","Municipality Name/ მისამართი/ადმ ერთ","Address/ მისამართი"
"1","Batumi Education, Development and Employment Center","ბათუმის განათლების, განვითარების და დასაქმების ცენტრი","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","ბათუმის დღის ცენტრი -ბათუმის განათლების განვითარების და და დასაქმების ცენტრი/ Batumi Day center - BEDEC","დღის ცენტრი","შშმ ბავშვები","მაია ქათამაძე","https://bedecorg.wordpress.com/ ","maya.katamadze@gmail.com","593730293","აჭარა","ბათუმი","თამარ მეფის გამზ. პირველი შესახვევი N4","41.44273","45.79102","თამარ მეფის გამზ. პირველი შესახვევი 4","თამარ მეფის გამზ. პირველი შესახვევი 4, ბათუმი, აჭარა, Georgia"
"2","Medical Association Tana","სამედიცინო ასოციაცია თანა","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","","დღის ცენტრი","შშმ ბავშვები","ნანა საყვარელიძე","https://www.facebook.com/SameditsinoAsotsiatsiaTanaMedicaAssociationTana/?hc_ref=ARRvWcQu1szp_UrzWrk7etWu0m0NWuo4GhWkMUmFiuRlTWm1WztxOtlEpwVvYeC31qE","tanabatumi@gmail.com","577107915; 599586988","აჭარა","ბათუმი","სათნოების ქუჩის I ჩიხი N5","41.44273","45.79102","სათნოების ქუჩის I ჩიხი 5","სათნოების ქუჩის I ჩიხი 5, ბათუმი, აჭარა, Georgia"
"","Society ""Biliki""","საზოგადოება ""ბილიკი""","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","მშვიდობის გამზირზე არსებული დღის ცენტრი/Day center on  Mshvidobis avenue","დღის ცენტრი","მიტოვების რისკის ქვეშ მყოფი ბავშვები","მარინე მღებრიშვილი","https://www.facebook.com/societybiliki; http://www.biliki.ge/index.php/ka-ge; ","contact@biliki.ge","0370275410; 0370277291; 599534035","შიდა ქართლი","გორი","მშვიდობის გამზ. N12","41.44273","45.79102","მშვიდობის გამზ. 12","მშვიდობის გამზ. 12, გორი, შიდა ქართლი, Georgia"
"4","Society ""Biliki""","საზოგადოება ""ბილიკი""","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","რუსთაველზე არსებული დღის ცენტრი/ Day center on Rustaveli street","დღის ცენტრი","მიტოვების რისკის ქვეშ მყოფი ბავშვები","მარინე მღებრიშვილი","https://www.facebook.com/societybiliki ; http://www.biliki.ge/index.php/ka-ge","contact@biliki.ge","0370275410; 0370277291; 599534035","შიდა ქართლი","გორი","რუსთაველის 19ა","41.9801822","44.1078946","რუსთაველის 19ა","რუსთაველის 19ა, გორი, შიდა ქართლი, Georgia"
"5","Welfare and Development Center","კეთილდღეობისა და განვითარების ცენტრი","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","გორის დღის ცენტრი შშმ ბავშვებისვის/ Gori Day center for Children with Disabilities","დღის ცენტრი","შშმ ბავშვები","თინა ბრეგვაძე","http://www.cso.ge/view_ngo.php?slug=goris-invalidta-klubi; https://www.facebook.com/GoriWDC; ","tina-1@rambler.ru","0370279825; 599792572; 558900559","შიდა ქართლი","გორი","თარხნიშვილის N20","41.9887253","44.0938937","თარხნიშვილის 20","თარხნიშვილის 20, გორი, შიდა ქართლი, Georgia"
"6","Welfare and Development Center","კეთილდღეობისა და განვითარების ცენტრი","ა(ა)იპ","ზრდასრულთა მომსახურება;Adult","გორის დღის ცენტრი შშმ პირებისთვის /Gori Day center for People with Disabilities","დღის ცენტრი","შშმ პირები ","თინა ბრეგვაძე","http://www.cso.ge/view_ngo.php?slug=goris-invalidta-klubi; https://www.facebook.com/GoriWDC/;","tina-1@rambler.ru","0370279825; 599792572","შიდა ქართლი","გორი","თარხნიშვილის ქ.N20ა","41.9887253","44.0938937","თარხნიშვილის 20ა","თარხნიშვილის 20ა, გორი, შიდა ქართლი, Georgia"
"7","Life Line","Life Line","ა(ა)იპ","ზრდასრულთა მომსახურება;Adult","","დღის ცენტრი","შშმ პირები ","შოთა წიკლაური","","lifelinege@gmail.com","555385583; 593147805","კახეთი","გურჯაანი","ერეკლე მეორის ქ.N15","41.44273","45.79102","ერეკლე მეორის 15","ერეკლე მეორის 15, გურჯაანი, კახეთი, Georgia"
"8","Vani's disable childrens day center ""Nateli Momavali""","ვანის შშმ ბავშვთა დღის ცენტრი ნათელი მომავალი","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","","დღის ცენტრი","შშმ ბავშვები","ნინო ჩახუნაშვილი","","ninochachunashvili@gmail.com","595850920","","ვანი","ჯორჯიაშვილის 34","42.0834477","42.5111703","ჯორჯიაშვილის 34","ჯორჯიაშვილის 34, ვანი, , Georgia"
"9","Union of Orion","კავშირი ორიონი","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","","დღის ცენტრი","შშმ ბავშვები","ნანა ფერაძე","http://ccy.ge/members/kavshiri-orioni/; ","orioni.orioni@gmail.com","599133181; 492253402","იმერეთი","ზესტაფონი","წერეთლის ქ. N2","42.105238","43.0348948","წერეთლის  2","წერეთლის 2, ზესტაფონი, იმერეთი, Georgia"
"10","SOS Children's Villages Gerogia","ასოციაცია საქართველოს ეს-ო-ეს ბავშვთა სოფელი","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","","დღის ცენტრი","მიტოვების რისკის ქვეშ მყოფი ბავშვები","ზვიად ბერძენიშვილი","http://www.sos-childrensvillages.ge/; ","zviad.berdzenishvili@sos-kd.ge","2204283","სამეგრელო","ზუგდიდი","რუსთაველის 93, მე-3 სართული","41.44273","45.79102","რუსთაველის 93, მე-3 სართული","რუსთაველის 93, მე-3 სართული, ზუგდიდი, სამეგრელო, Georgia"
"11","Promotion of rehabilitation of disabled children and adolescents ""Nergebi""","ინვალიდ ბავშვთა და მოზარდთა რეაბილიტაციის ხელშეწყობა ""ნერგები""","ა(ა)იპ","სერვისები ბავშვებისათვის ; Children  ","ზუგდიდის დღის ცენტრის პროგრამა -ნერგები/ Zugdidi day center program Nergebi","დღის ცენტრი","შშმ ბავშვები","იამზე ალფენიძე","","luka86@rambler.ru","579344423","სამეგრელო","ზუგდიდი","რუსთაველის 192","42.5089133","41.8671739","რუსთაველის 192","რუსთაველის 192, ზუგდიდი, სამეგრელო, Georgia"
